Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
252238_at			3	-18524084	AT3G49960	824158	12473102, 14690510, 15047898, 15231406, 15634198, 15946982, 16648215, 16766693, 17408486, 20627084, 22253603	GO:0005576: extracellular region, GO:0006979: response to oxidative stress, GO:0020037: heme binding	00360: 00360, 00940: 00940, 01100: 01100, 01110: 01110
248636_at									
256352_at	ATPRP1, PRP1, RHS7	encodes a proline-rich protein that is specifically expressed in the root., encodes a proline-rich protein that is specifically expressed in the root., encodes a proline-rich protein that is specifically expressed in the root.	1, 1, 1	20504901	AT1G54970	841938	10594096, 16412086, 16766693, 17220200, 19448035, 22253603, 24620000, 27247031	GO:0009505: plant-type cell wall, GO:0009888: tissue development, GO:0071944: cell periphery	
263376_at	FLA6	fasciclin-like arabinogalactan-protein 6 (Fla6)	2	8840557	AT2G20520	816574	11554470, 12068095, 12177459, 12805628, 12805588, 12913156, 14645732, 15047898, 15235117, 16244449, 16307366, 16367961, 16635983, 17061125, 18772308, 20202165, 22253603, 31501923	GO:0005576: extracellular region, GO:0005886: plasma membrane, GO:0009834: plant-type secondary cell wall biogenesis, GO:0016020: membrane	
261157_at			1	-12615690	AT1G34510	840353	12473102, 15231406, 16258017, 16648215, 16776300, 22253603	GO:0004601: peroxidase activity, GO:0005576: extracellular region, GO:0006950: response to stress, GO:0006979: response to oxidative stress, GO:0009505: plant-type cell wall, GO:0020037: heme binding	00360: 00360, 00940: 00940, 01100: 01100, 01110: 01110
247871_at	AtXTH12, XTH12		5, 5	-23300321	AT5G57530	835857	11673616, 12514239, 15610358, 15634198, 15720654, 16412086, 16648215, 16766693, 17220200, 18192438, 20732879, 20688978, 22253603	GO:0005576: extracellular region, GO:0005737: cytoplasm, GO:0009505: plant-type cell wall, GO:0010411: xyloglucan metabolic process, GO:0016762: xyloglucan:xyloglucosyl transferase activity, GO:0030247: polysaccharide binding, GO:0042546: cell wall biogenesis	
254818_at	AZI1	Encodes AZI1 (AZELAIC ACID INDUCED 1).  Involved in the priming of salicylic acid induction and systemic immunity triggered by pathogen or azelaic acid.	4	-7401087	AT4G12470	826859	12376638, 12805589, 14576160, 14535883, 15165189, 15247402, 15341633, 15546358, 15772289, 15191737, 15144382, 15908439, 16131496, 16183833, 16500996, 16463051, 16621846, 16648215, 17257167, 17786468, 18808718, 18783601, 19342588, 21492954, 21815977, 22375709, 23800991, 23602565, 24214892, 24518841, 26203923, 26771603, 27337039, 28536145, 29490615, 29608565, 30156481, 31042812, 32796124, 33342031	GO:0005515: protein binding, GO:0005576: extracellular region, GO:0005783: endoplasmic reticulum, GO:0009506: plasmodesma, GO:0009506: plasmodesma, GO:0009507: chloroplast, GO:0009627: systemic acquired resistance, GO:0009631: cold acclimation, GO:0009682: induced systemic resistance, GO:0009682: induced systemic resistance, GO:0009707: chloroplast outer membrane, GO:0043621: protein self-association, GO:0048046: apoplast, GO:0050832: defense response to fungus, GO:0070417: cellular response to cold	
264567_s_at								GO:0004601: peroxidase activity, GO:0004601: peroxidase activity, GO:0005576: extracellular region, GO:0006950: response to stress, GO:0006979: response to oxidative stress, GO:0009505: plant-type cell wall, GO:0009505: plant-type cell wall, GO:0009506: plasmodesma, GO:0009664: plant-type cell wall organization, GO:0009808: lignin metabolic process, GO:0020037: heme binding, GO:0035618: root hair, GO:0098869: cellular oxidant detoxification	
247914_at	AtXTH13, XTH13	Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity., Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity.	5, 5	-23302787	AT5G57540	835858	11673616, 12514239, 15720654, 16412086, 18772308, 20732879, 20688978, 22253603	GO:0005576: extracellular region, GO:0010411: xyloglucan metabolic process, GO:0016762: xyloglucan:xyloglucosyl transferase activity, GO:0030247: polysaccharide binding, GO:0042546: cell wall biogenesis	
249934_at	RHS18		5	7426310	AT5G22410	832302	12473102, 15047898, 15231406, 16258017, 16766693, 17061125, 19448035, 20226671, 22253603, 30093526	GO:0004601: peroxidase activity, GO:0005576: extracellular region, GO:0006950: response to stress, GO:0006979: response to oxidative stress, GO:0009505: plant-type cell wall, GO:0020037: heme binding	00360: 00360, 00940: 00940, 01100: 01100, 01110: 01110
