Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
253502_at	CYP82C4	member of CYP82C	4	15451988	AT4G31940	829324	15539473, 16615871, 16998091, 18291319, 18613973, 18772308, 21315474, 27247031, 29581584	GO:0004497: monooxygenase activity, GO:0005506: iron ion binding, GO:0009507: chloroplast, GO:0010039: response to iron ion, GO:0020037: heme binding, GO:0071281: cellular response to iron ion, GO:0098542: defense response to other organism, GO:0106144: fraxetin 5-hydroxylase activity, GO:0106146: sideretin biosynthesis	00903: 00903, 00945: 00945, 01100: 01100, 01110: 01110
257135_at	S8H		3	4104463	AT3G12900	820473	15489280, 15539473, 16998091, 17028341, 17028338, 18772308, 20627899, 29361149, 29559590, 29581584	GO:0005737: cytoplasm, GO:0009805: coumarin biosynthetic process, GO:0009805: coumarin biosynthetic process, GO:0010039: response to iron ion, GO:0016706: 2-oxoglutarate-dependent dioxygenase activity, GO:0051213: dioxygenase activity, GO:0106145: scopoletin 8-hydroxylase activity, GO:0106147: fraxetin biosynthesis	
255524_at	AtPME41, ATPMEPCRB, PME41		4, 4, 4	1032350	AT4G02330	828064	9767082, 11351099, 12169696, 12481097, 12007405, 14508004, 14576160, 15047898, 15235117, 15308753, 15720654, 15539473, 15837708, 14742872, 16214899, 16299171, 16299169, 16553894, 16517761, 16622707, 16766693, 16766691, 16920880, 17059410, 18192438, 18805951, 21819976, 24367018, 28082716	GO:0005576: extracellular region, GO:0009409: response to cold, GO:0009620: response to fungus, GO:0009741: response to brassinosteroid, GO:0030599: pectinesterase activity, GO:0030599: pectinesterase activity, GO:0030599: pectinesterase activity, GO:0042545: cell wall modification, GO:0045490: pectin catabolic process, GO:0046910: pectinesterase inhibitor activity, GO:0050832: defense response to fungus	
257689_at	AtMYB10, MYB10	Member of the R2R3 factor gene family., Member of the R2R3 factor gene family.	3, 3	-4073855	AT3G12820	820464	9839469, 11118137, 11597504, 12912986, 15078338, 15489280, 15539473, 16463103, 24278034, 31776249	GO:0003700: DNA-binding transcription factor activity, GO:0005634: nucleus, GO:0005634: nucleus, GO:0009646: response to absence of light, GO:0009723: response to ethylene, GO:0010043: response to zinc ion, GO:0010468: regulation of gene expression, GO:0046686: response to cadmium ion, GO:1990532: stress response to nickel ion, GO:1990641: response to iron ion starvation, GO:1990641: response to iron ion starvation	
262091_at	ATMYB72, MYB72	Encodes a member of the R2R3 transcription factor gene family that is involved in mediating induced systemic resistance. Genetic analysis of loss of function mutants and overexpressor lines indicates MYB72 is necessary but not sufficient for ISR.Interacts in vivo with EIL3., Encodes a member of the R2R3 transcription factor gene family that is involved in mediating induced systemic resistance. Genetic analysis of loss of function mutants and overexpressor lines indicates MYB72 is necessary but not sufficient for ISR.Interacts in vivo with EIL3.	1, 1	21022384	AT1G56160	842069	9839469, 11118137, 11597504, 14605227, 14756312, 15489280, 15539473, 16998091, 18772308, 19121118, 20627899, 24278034, 25138267, 26307542, 27105423, 28451750, 28667819, 29686086, 31354776, 31776249	GO:0002237: response to molecule of bacterial origin, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0009866: induced systemic resistance, ethylene mediated signaling pathway, GO:0010043: response to zinc ion, GO:0010043: response to zinc ion, GO:0010468: regulation of gene expression, GO:0019748: secondary metabolic process, GO:0046686: response to cadmium ion, GO:0051365: cellular response to potassium ion starvation, GO:0055065: metal ion homeostasis, GO:1990359: stress response to zinc ion, GO:1990532: stress response to nickel ion, GO:1990641: response to iron ion starvation, GO:1990641: response to iron ion starvation	
251293_at			3	22935510	AT3G61930	825366	12912986, 15489280, 15539473, 18650403, 18772308, 23858430	GO:0001666: response to hypoxia, GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0006979: response to oxidative stress, GO:0010035: response to inorganic substance, GO:0014070: response to organic cyclic compound, GO:0019748: secondary metabolic process, GO:0042594: response to starvation, GO:0055082: cellular chemical homeostasis, GO:0090558: plant epidermis development, GO:0098542: defense response to other organism	
250983_at	GSTL1	Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro.	5	630748, 630876	AT5G02780	831800	12077129, 15489280, 15539473, 17061125, 17031546, 18053238, 18775970, 20841361, 23858430	GO:0004364: glutathione transferase activity, GO:0005737: cytoplasm	
259228_at			3	2465235	AT3G07720	819963	15610358, 15539473, 17545220, 18650403, 18987211, 19880396	GO:0005634: nucleus, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0010043: response to zinc ion, GO:0030234: enzyme regulator activity, GO:0080028: nitrile biosynthetic process	
245692_at	BHLH101		5	-1138410	AT5G04150	830293	11118137, 12679534, 12897250, 14600211, 17260143, 17516080, 20978802, 21873619, 22984573, 22983953, 24549883, 26921305, 24928490, 24919188, 28444690, 28864470, 29396986, 29546482, 29960107, 30080593, 30782964, 31776249, 31776233, 33464620, 34034877	GO:0000977: RNA polymerase II transcription regulatory region sequence-specific DNA binding, GO:0000981: DNA-binding transcription factor activity, RNA polymerase II-specific, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0006357: regulation of transcription by RNA polymerase II, GO:0006357: regulation of transcription by RNA polymerase II, GO:0010106: cellular response to iron ion starvation, GO:0046983: protein dimerization activity, GO:0055072: iron ion homeostasis, GO:0090575: RNA polymerase II transcription regulator complex	
246998_at	CGLD27		5	-26877272	AT5G67370	836872	15531708, 23043051, 23888164, 27462337, 31776249	GO:0003674: molecular_function, GO:0009507: chloroplast, GO:1990641: response to iron ion starvation, GO:1990641: response to iron ion starvation	
