Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
253502_at	CYP82C4	member of CYP82C	4	15451988	AT4G31940	829324	15539473, 16615871, 16998091, 18291319, 18613973, 18772308, 21315474, 27247031, 29581584	GO:0004497: monooxygenase activity, GO:0005506: iron ion binding, GO:0009507: chloroplast, GO:0010039: response to iron ion, GO:0020037: heme binding, GO:0071281: cellular response to iron ion, GO:0098542: defense response to other organism, GO:0106144: fraxetin 5-hydroxylase activity, GO:0106146: sideretin biosynthesis	00903: 00903, 00945: 00945, 01100: 01100, 01110: 01110
254550_at	ATIRT1, IRT1	Fe(II) transport protein (IRT1), Fe(II) transport protein (IRT1)	4, 4	10707378, 10707344	AT4G19690	827713	10938797, 10769179, 10394943, 9784581, 9501139, 8643627, 11035780, 11696349, 11389759, 11352462, 11500563, 12084831, 12084823, 12096107, 12207649, 12374293, 12787249, 16362328, 17000865, 17029360, 17085755, 17337631, 17427814, 17404382, 18305211, 18397377, 18772308, 19168643, 19154225, 19121106, 19188276, 19252923, 19348669, 19448037, 18268542, 18640604, 19017117, 19549134, 20055961, 20627899, 21219335, 21325567, 21426424, 21628566, 21742768, 21334215, 22234997, 22374397, 22476458, 22639604, 22626733, 22995285, 22984573, 22983953, 23021314, 23144187, 23250624, 23225856, 23590825, 23706761, 23794026, 23759098, 23974911, 23995086, 24192296, 24456400, 24168839, 24561248, 24549117, 24501001, 24596241, 24721759, 24711810, 24843126, 25300251, 25289518, 25366567, 25446093, 25566293, 25559189, 25923075, 26307542, 27247031, 26333047, 26560141, 26579185, 26644507, 26662936, 26956666, 27105423, 27095402, 27792144, 24494240, 24928490, 24889527, 24880337, 26800438, 27849020, 28390898, 28451750, 28500270, 28744713, 29045490, 29114014, 29165807, 29219710, 29490615, 29520929, 29547723, 29677391, 29738246, 29960107, 29989313, 30032190, 30255457, 30766541, 30782964, 30853969, 30912267, 31040174, 31115467, 31156682, 31354776, 31676164, 31776249, 32044630, 32351167, 32528485, 32515071, 32692954, 32817691, 32873629, 33346096, 33360184, 33573082, 33568304, 34057037	GO:0005375: copper ion transmembrane transporter activity, GO:0005381: iron ion transmembrane transporter activity, GO:0005381: iron ion transmembrane transporter activity, GO:0005384: manganese ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005385: zinc ion transmembrane transporter activity, GO:0005768: endosome, GO:0005802: trans-Golgi network, GO:0005886: plasma membrane, GO:0005886: plasma membrane, GO:0006826: iron ion transport, GO:0006828: manganese ion transport, GO:0006829: zinc ion transport, GO:0006879: cellular iron ion homeostasis, GO:0009507: chloroplast, GO:0009617: response to bacterium, GO:0015086: cadmium ion transmembrane transporter activity, GO:0015675: nickel cation transport, GO:0015691: cadmium ion transport, GO:0016020: membrane, GO:0030001: metal ion transport, GO:0071577: zinc ion transmembrane transport	
257135_at	S8H		3	4104463	AT3G12900	820473	15489280, 15539473, 16998091, 17028341, 17028338, 18772308, 20627899, 29361149, 29559590, 29581584	GO:0005737: cytoplasm, GO:0009805: coumarin biosynthetic process, GO:0009805: coumarin biosynthetic process, GO:0010039: response to iron ion, GO:0016706: 2-oxoglutarate-dependent dioxygenase activity, GO:0051213: dioxygenase activity, GO:0106145: scopoletin 8-hydroxylase activity, GO:0106147: fraxetin biosynthesis	
255524_at	AtPME41, ATPMEPCRB, PME41		4, 4, 4	1032350	AT4G02330	828064	9767082, 11351099, 12169696, 12481097, 12007405, 14508004, 14576160, 15047898, 15235117, 15308753, 15720654, 15539473, 15837708, 14742872, 16214899, 16299171, 16299169, 16553894, 16517761, 16622707, 16766693, 16766691, 16920880, 17059410, 18192438, 18805951, 21819976, 24367018, 28082716	GO:0005576: extracellular region, GO:0009409: response to cold, GO:0009620: response to fungus, GO:0009741: response to brassinosteroid, GO:0030599: pectinesterase activity, GO:0030599: pectinesterase activity, GO:0030599: pectinesterase activity, GO:0042545: cell wall modification, GO:0045490: pectin catabolic process, GO:0046910: pectinesterase inhibitor activity, GO:0050832: defense response to fungus	
245692_at	BHLH101		5	-1138410	AT5G04150	830293	11118137, 12679534, 12897250, 14600211, 17260143, 17516080, 20978802, 21873619, 22984573, 22983953, 24549883, 26921305, 24928490, 24919188, 28444690, 28864470, 29396986, 29546482, 29960107, 30080593, 30782964, 31776249, 31776233, 33464620, 34034877	GO:0000977: RNA polymerase II transcription regulatory region sequence-specific DNA binding, GO:0000981: DNA-binding transcription factor activity, RNA polymerase II-specific, GO:0003700: DNA-binding transcription factor activity, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0006357: regulation of transcription by RNA polymerase II, GO:0006357: regulation of transcription by RNA polymerase II, GO:0010106: cellular response to iron ion starvation, GO:0046983: protein dimerization activity, GO:0055072: iron ion homeostasis, GO:0090575: RNA polymerase II transcription regulator complex	
249535_at		Encodes a putative amino acid transporter.	5	15543115	AT5G38820	833873	12586873, 15489280, 15539473, 17028338, 18775970, 20627899	GO:0003333: amino acid transmembrane transport, GO:0009408: response to heat, GO:0009409: response to cold, GO:0009414: response to water deprivation, GO:0009651: response to salt stress, GO:0009737: response to abscisic acid, GO:0015171: amino acid transmembrane transporter activity, GO:0015179: L-amino acid transmembrane transporter activity	
262373_at			1	-27497176	AT1G73120	843643	14576160, 15086809, 15082927, 15539473, 16648215, 16998091, 18614705, 18702669	GO:0003674: molecular_function, GO:0006979: response to oxidative stress	
251677_at	BHLH039, bHLH39, ORG3	Encodes a member of the basic helix-loop-helix transcription factor protein., Encodes a member of the basic helix-loop-helix transcription factor protein., Encodes a member of the basic helix-loop-helix transcription factor protein.	3, 3, 3	-21086390	AT3G56980	824865	11118137, 12679534, 12897250, 12887587, 14600211, 15086800, 15082927, 15078338, 15923329, 16284313, 17260143, 17233795, 17217462, 17411438, 17516080, 18783601, 18268542, 20219281, 21873619, 22984573, 22983953, 23250624, 24192296, 24549883, 24928490, 24919188, 28444690, 28864470, 28883478, 29396986, 29546482, 29960107, 29985961, 30032190, 30713077, 30782964, 31487399, 31776249, 31776233, 31879716, 32580009, 33346096, 33464620	GO:0000977: RNA polymerase II transcription regulatory region sequence-specific DNA binding, GO:0000981: DNA-binding transcription factor activity, RNA polymerase II-specific, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0006355: regulation of DNA-templated transcription, GO:0006357: regulation of transcription by RNA polymerase II, GO:0010106: cellular response to iron ion starvation, GO:0046983: protein dimerization activity, GO:0055072: iron ion homeostasis, GO:0090575: RNA polymerase II transcription regulator complex	
250983_at	GSTL1	Encodes a member of the lambda family of glutathione transferases. It has thiol transferase activity and self S-glutathionylation activity in vitro.	5	630748, 630876	AT5G02780	831800	12077129, 15489280, 15539473, 17061125, 17031546, 18053238, 18775970, 20841361, 23858430	GO:0004364: glutathione transferase activity, GO:0005737: cytoplasm	
261684_at	FEP3, IMA1		1, 1	17385707	AT1G47400	841144	15086809, 15546358, 15755812, 16291648, 16330523, 17061125, 20978802, 30032190, 30323182, 31776249, 31776233, 32594838	GO:0005634: nucleus, GO:0005829: cytosol, GO:0034758: positive regulation of iron ion transport, GO:0046914: transition metal ion binding, GO:1990641: response to iron ion starvation	
262091_at	ATMYB72, MYB72	Encodes a member of the R2R3 transcription factor gene family that is involved in mediating induced systemic resistance. Genetic analysis of loss of function mutants and overexpressor lines indicates MYB72 is necessary but not sufficient for ISR.Interacts in vivo with EIL3., Encodes a member of the R2R3 transcription factor gene family that is involved in mediating induced systemic resistance. Genetic analysis of loss of function mutants and overexpressor lines indicates MYB72 is necessary but not sufficient for ISR.Interacts in vivo with EIL3.	1, 1	21022384	AT1G56160	842069	9839469, 11118137, 11597504, 14605227, 14756312, 15489280, 15539473, 16998091, 18772308, 19121118, 20627899, 24278034, 25138267, 26307542, 27105423, 28451750, 28667819, 29686086, 31354776, 31776249	GO:0002237: response to molecule of bacterial origin, GO:0003700: DNA-binding transcription factor activity, GO:0005515: protein binding, GO:0005634: nucleus, GO:0005634: nucleus, GO:0009866: induced systemic resistance, ethylene mediated signaling pathway, GO:0010043: response to zinc ion, GO:0010043: response to zinc ion, GO:0010468: regulation of gene expression, GO:0019748: secondary metabolic process, GO:0046686: response to cadmium ion, GO:0051365: cellular response to potassium ion starvation, GO:0055065: metal ion homeostasis, GO:1990359: stress response to zinc ion, GO:1990532: stress response to nickel ion, GO:1990641: response to iron ion starvation, GO:1990641: response to iron ion starvation	
259228_at			3	2465235	AT3G07720	819963	15610358, 15539473, 17545220, 18650403, 18987211, 19880396	GO:0005634: nucleus, GO:0005634: nucleus, GO:0005737: cytoplasm, GO:0005829: cytosol, GO:0010043: response to zinc ion, GO:0030234: enzyme regulator activity, GO:0080028: nitrile biosynthetic process	
251293_at			3	22935510	AT3G61930	825366	12912986, 15489280, 15539473, 18650403, 18772308, 23858430	GO:0001666: response to hypoxia, GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0006979: response to oxidative stress, GO:0010035: response to inorganic substance, GO:0014070: response to organic cyclic compound, GO:0019748: secondary metabolic process, GO:0042594: response to starvation, GO:0055082: cellular chemical homeostasis, GO:0090558: plant epidermis development, GO:0098542: defense response to other organism	
